level,type,category,sq,pl,es,img,note
A1,phrase,números,Fraza e testit 44,Przykładowe zdanie 44,Frase de ejemplo 44,,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 45,Przykładowe zdanie 45,Frase de ejemplo 45,,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala46,pl_słowo46,palabra46,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala47,pl_słowo47,palabra47,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala48,pl_słowo48,palabra48,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala49,pl_słowo49,palabra49,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala50,pl_słowo50,palabra50,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala51,pl_słowo51,palabra51,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala52,pl_słowo52,palabra52,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,familia,Fraza e testit 53,Przykładowe zdanie 53,Frase de ejemplo 53,,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala54,pl_słowo54,palabra54,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 55,Przykładowe zdanie 55,Frase de ejemplo 55,,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala56,pl_słowo56,palabra56,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala57,pl_słowo57,palabra57,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 58,Przykładowe zdanie 58,Frase de ejemplo 58,,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala59,pl_słowo59,palabra59,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala60,pl_słowo60,palabra60,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala61,pl_słowo61,palabra61,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala62,pl_słowo62,palabra62,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala63,pl_słowo63,palabra63,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 64,Przykładowe zdanie 64,Frase de ejemplo 64,,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala65,pl_słowo65,palabra65,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala66,pl_słowo66,palabra66,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala67,pl_słowo67,palabra67,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala68,pl_słowo68,palabra68,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 69,Przykładowe zdanie 69,Frase de ejemplo 69,,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala70,pl_słowo70,palabra70,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 71,Przykładowe zdanie 71,Frase de ejemplo 71,,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 72,Przykładowe zdanie 72,Frase de ejemplo 72,,PLACEHOLDER: revisar y reemplazar
A1,phrase,números,Fraza e testit 73,Przykładowe zdanie 73,Frase de ejemplo 73,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala74,pl_słowo74,palabra74,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala75,pl_słowo75,palabra75,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala76,pl_słowo76,palabra76,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala77,pl_słowo77,palabra77,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 78,Przykładowe zdanie 78,Frase de ejemplo 78,,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 79,Przykładowe zdanie 79,Frase de ejemplo 79,,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala80,pl_słowo80,palabra80,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala81,pl_słowo81,palabra81,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala82,pl_słowo82,palabra82,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala83,pl_słowo83,palabra83,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 84,Przykładowe zdanie 84,Frase de ejemplo 84,,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala85,pl_słowo85,palabra85,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala86,pl_słowo86,palabra86,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala87,pl_słowo87,palabra87,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala88,pl_słowo88,palabra88,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala89,pl_słowo89,palabra89,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala90,pl_słowo90,palabra90,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 91,Przykładowe zdanie 91,Frase de ejemplo 91,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala92,pl_słowo92,palabra92,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala93,pl_słowo93,palabra93,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala94,pl_słowo94,palabra94,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala95,pl_słowo95,palabra95,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala96,pl_słowo96,palabra96,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala97,pl_słowo97,palabra97,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala98,pl_słowo98,palabra98,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 99,Przykładowe zdanie 99,Frase de ejemplo 99,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala100,pl_słowo100,palabra100,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,comida,Fraza e testit 101,Przykładowe zdanie 101,Frase de ejemplo 101,,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 102,Przykładowe zdanie 102,Frase de ejemplo 102,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala103,pl_słowo103,palabra103,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 104,Przykładowe zdanie 104,Frase de ejemplo 104,,PLACEHOLDER: revisar y reemplazar
A1,phrase,comida,Fraza e testit 105,Przykładowe zdanie 105,Frase de ejemplo 105,,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala106,pl_słowo106,palabra106,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala107,pl_słowo107,palabra107,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 108,Przykładowe zdanie 108,Frase de ejemplo 108,,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala109,pl_słowo109,palabra109,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala110,pl_słowo110,palabra110,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala111,pl_słowo111,palabra111,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 112,Przykładowe zdanie 112,Frase de ejemplo 112,,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 113,Przykładowe zdanie 113,Frase de ejemplo 113,,PLACEHOLDER: revisar y reemplazar
A1,phrase,familia,Fraza e testit 114,Przykładowe zdanie 114,Frase de ejemplo 114,,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala115,pl_słowo115,palabra115,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 116,Przykładowe zdanie 116,Frase de ejemplo 116,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala117,pl_słowo117,palabra117,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,comida,Fraza e testit 118,Przykładowe zdanie 118,Frase de ejemplo 118,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala119,pl_słowo119,palabra119,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 120,Przykładowe zdanie 120,Frase de ejemplo 120,,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 121,Przykładowe zdanie 121,Frase de ejemplo 121,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala122,pl_słowo122,palabra122,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala123,pl_słowo123,palabra123,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 124,Przykładowe zdanie 124,Frase de ejemplo 124,,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 125,Przykładowe zdanie 125,Frase de ejemplo 125,,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala126,pl_słowo126,palabra126,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 127,Przykładowe zdanie 127,Frase de ejemplo 127,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala128,pl_słowo128,palabra128,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala129,pl_słowo129,palabra129,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala130,pl_słowo130,palabra130,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala131,pl_słowo131,palabra131,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala132,pl_słowo132,palabra132,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala133,pl_słowo133,palabra133,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala134,pl_słowo134,palabra134,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala135,pl_słowo135,palabra135,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala136,pl_słowo136,palabra136,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala137,pl_słowo137,palabra137,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala138,pl_słowo138,palabra138,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala139,pl_słowo139,palabra139,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala140,pl_słowo140,palabra140,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala141,pl_słowo141,palabra141,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala142,pl_słowo142,palabra142,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 143,Przykładowe zdanie 143,Frase de ejemplo 143,,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala144,pl_słowo144,palabra144,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,números,Fraza e testit 145,Przykładowe zdanie 145,Frase de ejemplo 145,,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala146,pl_słowo146,palabra146,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala147,pl_słowo147,palabra147,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala148,pl_słowo148,palabra148,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala149,pl_słowo149,palabra149,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 150,Przykładowe zdanie 150,Frase de ejemplo 150,,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 151,Przykładowe zdanie 151,Frase de ejemplo 151,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala152,pl_słowo152,palabra152,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala153,pl_słowo153,palabra153,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala154,pl_słowo154,palabra154,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,compras,fjala155,pl_słowo155,palabra155,img/market.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala156,pl_słowo156,palabra156,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,colores,Fraza e testit 157,Przykładowe zdanie 157,Frase de ejemplo 157,,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala158,pl_słowo158,palabra158,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala159,pl_słowo159,palabra159,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 160,Przykładowe zdanie 160,Frase de ejemplo 160,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala161,pl_słowo161,palabra161,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala162,pl_słowo162,palabra162,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 163,Przykładowe zdanie 163,Frase de ejemplo 163,,PLACEHOLDER: revisar y reemplazar
A1,phrase,colores,Fraza e testit 164,Przykładowe zdanie 164,Frase de ejemplo 164,,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala165,pl_słowo165,palabra165,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 166,Przykładowe zdanie 166,Frase de ejemplo 166,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala167,pl_słowo167,palabra167,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala168,pl_słowo168,palabra168,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala169,pl_słowo169,palabra169,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala170,pl_słowo170,palabra170,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala171,pl_słowo171,palabra171,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala172,pl_słowo172,palabra172,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 173,Przykładowe zdanie 173,Frase de ejemplo 173,,PLACEHOLDER: revisar y reemplazar
A1,phrase,números,Fraza e testit 174,Przykładowe zdanie 174,Frase de ejemplo 174,,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala175,pl_słowo175,palabra175,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,cuerpo,Fraza e testit 176,Przykładowe zdanie 176,Frase de ejemplo 176,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala177,pl_słowo177,palabra177,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala178,pl_słowo178,palabra178,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 179,Przykładowe zdanie 179,Frase de ejemplo 179,,PLACEHOLDER: revisar y reemplazar
A1,phrase,tiempo,Fraza e testit 180,Przykładowe zdanie 180,Frase de ejemplo 180,,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 181,Przykładowe zdanie 181,Frase de ejemplo 181,,PLACEHOLDER: revisar y reemplazar
A1,phrase,colores,Fraza e testit 182,Przykładowe zdanie 182,Frase de ejemplo 182,,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala183,pl_słowo183,palabra183,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala184,pl_słowo184,palabra184,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala185,pl_słowo185,palabra185,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala186,pl_słowo186,palabra186,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala187,pl_słowo187,palabra187,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala188,pl_słowo188,palabra188,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala189,pl_słowo189,palabra189,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,comida,Fraza e testit 190,Przykładowe zdanie 190,Frase de ejemplo 190,,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala191,pl_słowo191,palabra191,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala192,pl_słowo192,palabra192,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala193,pl_słowo193,palabra193,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala194,pl_słowo194,palabra194,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala195,pl_słowo195,palabra195,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala196,pl_słowo196,palabra196,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala197,pl_słowo197,palabra197,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala198,pl_słowo198,palabra198,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,viaje,Fraza e testit 199,Przykładowe zdanie 199,Frase de ejemplo 199,,PLACEHOLDER: revisar y reemplazar
A1,word,tiempo,fjala200,pl_słowo200,palabra200,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,tiempo,Fraza e testit 201,Przykładowe zdanie 201,Frase de ejemplo 201,,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala202,pl_słowo202,palabra202,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,trabajo,Fraza e testit 203,Przykładowe zdanie 203,Frase de ejemplo 203,,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala204,pl_słowo204,palabra204,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,colores,Fraza e testit 205,Przykładowe zdanie 205,Frase de ejemplo 205,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala206,pl_słowo206,palabra206,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala207,pl_słowo207,palabra207,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala208,pl_słowo208,palabra208,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,números,Fraza e testit 209,Przykładowe zdanie 209,Frase de ejemplo 209,,PLACEHOLDER: revisar y reemplazar
A1,word,comida,fjala210,pl_słowo210,palabra210,img/food.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 211,Przykładowe zdanie 211,Frase de ejemplo 211,,PLACEHOLDER: revisar y reemplazar
A1,word,números,fjala212,pl_słowo212,palabra212,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala213,pl_słowo213,palabra213,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala214,pl_słowo214,palabra214,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,compras,Fraza e testit 215,Przykładowe zdanie 215,Frase de ejemplo 215,,PLACEHOLDER: revisar y reemplazar
A1,word,colores,fjala216,pl_słowo216,palabra216,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,comida,Fraza e testit 217,Przykładowe zdanie 217,Frase de ejemplo 217,,PLACEHOLDER: revisar y reemplazar
A1,word,viaje,fjala218,pl_słowo218,palabra218,img/travel.png,PLACEHOLDER: revisar y reemplazar
A1,word,hogar,fjala219,pl_słowo219,palabra219,img/house.png,PLACEHOLDER: revisar y reemplazar
A1,phrase,tiempo,Fraza e testit 220,Przykładowe zdanie 220,Frase de ejemplo 220,,PLACEHOLDER: revisar y reemplazar
A1,phrase,hogar,Fraza e testit 221,Przykładowe zdanie 221,Frase de ejemplo 221,,PLACEHOLDER: revisar y reemplazar
A1,word,cuerpo,fjala222,pl_słowo222,palabra222,img/people.png,PLACEHOLDER: revisar y reemplazar
A1,word,trabajo,fjala223,pl_słowo223,palabra223,img/study.png,PLACEHOLDER: revisar y reemplazar
A1,word,familia,fjala224,pl_słowo224,palabra224,img/people.png,PLACEHOLDER: revisar y reemplazar
